###################################################################
#   NDI 6D ARCHITECT COLLECTED MARKER DATA (CSV FORMAT)
#
#      Collection Date (M/D/Y): 11/18/2016
#      Collection Markers: 4
#      Collection Frames: 45
#
#      Part Number: 00
#      Manufacturer: Team6
#      Revision: 1
#      Serial Number: 978651138l
#
###################################################################
Marker1-X,Marker1-Y,Marker1-Z,Marker2-X,Marker2-Y,Marker2-Z,Marker3-X,Marker3-Y,Marker3-Z,Marker4-X,Marker4-Y,Marker4-Z
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -75.7977, -68.7318, -1506.4817, -83.4198, -24.0814, -1513.6042, -105.5543, 7.9762, -1527.6121
-43.2813, -14.0782, -1491.9132, -75.8215, -68.7303, -1506.4827, -83.4356, -24.0969, -1513.5999, -105.5741, 7.9678, -1527.6741
-43.3050, -14.0763, -1491.8738, -75.8455, -68.7408, -1506.5205, -83.4495, -24.0856, -1513.6064, -105.5791, 7.9690, -1527.5713
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -75.7040, -68.7326, -1506.5663, -83.2982, -24.0863, -1513.6252, -105.4448, 7.9820, -1527.6077
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -75.7013, -68.7280, -1506.5150, -83.3002, -24.0794, -1513.6448, -105.4423, 7.9789, -1527.6753
-43.1293, -14.0692, -1491.8469, -75.6751, -68.7132, -1506.5243, -83.2771, -24.0714, -1513.6219, -105.4160, 7.9855, -1527.6147
-43.1644, -14.0701, -1491.8538, -75.7124, -68.7260, -1506.5435, -83.3101, -24.0757, -1513.6208, -105.4474, 7.9803, -1527.6497
-43.1450, -14.0690, -1491.8500, -75.6861, -68.7232, -1506.5046, -83.2786, -24.0739, -1513.6243, -105.4241, 7.9717, -1527.6194
-43.1327, -14.0701, -1491.8672, -75.6742, -68.7244, -1506.5143, -83.2681, -24.0810, -1513.6046, -105.4181, 7.9827, -1527.6147
-43.1442, -14.0787, -1491.8988, -75.6845, -68.7192, -1506.5139, -83.2813, -24.0745, -1513.6062, -105.4262, 7.9815, -1527.6399
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -75.7136, -68.7202, -1506.5503, -83.3131, -24.0821, -1513.5759, -105.4497, 7.9810, -1527.7096
-43.1318, -14.0629, -1491.8782, -75.6802, -68.7230, -1506.4724, -83.2807, -24.0773, -1513.6136, -105.4224, 7.9784, -1527.6360
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -75.6908, -68.7239, -1506.4453, -83.2788, -24.0791, -1513.6938, -105.4218, 7.9908, -1527.6274
-43.1279, -14.0658, -1491.8833, -75.6768, -68.7261, -1506.5256, -83.2687, -24.0808, -1513.6265, -105.4030, 7.9761, -1527.6055
-43.1298, -14.0655, -1491.8750, -75.6822, -68.7250, -1506.4800, -83.2798, -24.0779, -1513.6116, -105.4231, 7.9736, -1527.7202
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -75.6994, -68.7317, -1506.5740, -83.2878, -24.0733, -1513.6359, -105.4432, 7.9784, -1527.6482
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -75.7151, -68.7372, -1506.5398, -83.3209, -24.0849, -1513.6703, -105.4628, 7.9762, -1527.6929
-43.1715, -14.0660, -1491.9236, -75.7177, -68.7294, -1506.5370, -83.3131, -24.0870, -1513.5635, -105.4438, 7.9833, -1527.6155
-43.2015, -14.0713, -1491.8975, -75.7337, -68.7244, -1506.5396, -83.3330, -24.0862, -1513.6112, -105.4685, 7.9889, -1527.6143
-43.1733, -14.0820, -1491.8533, -75.7227, -68.7380, -1506.5205, -83.3225, -24.0837, -1513.5828, -105.4537, 7.9683, -1527.6316
-43.1747, -14.0680, -1491.8148, -75.7295, -68.7296, -1506.4752, -83.3191, -24.0881, -1513.5715, -105.4569, 7.9718, -1527.6348
-43.2128, -14.0665, -1491.8811, -75.7588, -68.7329, -1506.5386, -83.3414, -24.0827, -1513.5587, -105.4750, 7.9684, -1527.5958
-43.2277, -14.0834, -1491.8315, -75.7710, -68.7416, -1506.4818, -83.3595, -24.1036, -1513.5939, -105.5094, 7.9526, -1527.6165
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -75.7625, -68.7564, -1506.4823, -83.3604, -24.1192, -1513.6083, -105.4951, 7.9458, -1527.5503
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -75.7465, -68.7951, -1506.5085, -83.3536, -24.1371, -1513.6394, -105.4982, 7.9138, -1527.6121
-3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -75.7683, -68.7920, -1506.4734, -83.3725, -24.1457, -1513.6196, -105.5030, 7.9061, -1527.6377
