###################################################################
#   NDI 6D ARCHITECT COLLECTED MARKER DATA (CSV FORMAT)
#
#      Collection Date (M/D/Y): 11/18/2016
#      Collection Markers: 4
#      Collection Frames: 45
#
#      Part Number: 00
#      Manufacturer: Team6
#      Revision: 1
#      Serial Number: 978651138l
#
###################################################################
Marker1-X,Marker1-Y,Marker1-Z,Marker2-X,Marker2-Y,Marker2-Z,Marker3-X,Marker3-Y,Marker3-Z,Marker4-X,Marker4-Y,Marker4-Z
-86.8018, -105.7707, -1686.1185, -121.8301, -159.6160, -1674.9121, -157.8492, -83.2725, -1687.0490, -163.5935, -140.1463, -1676.0317
-86.7930, -105.7961, -1685.9333, -121.8214, -159.6313, -1674.6893, -157.8436, -83.2754, -1686.8583, -163.6136, -140.1883, -1675.9722
-86.7827, -105.8102, -1685.9438, -121.8262, -159.6576, -1674.7280, -157.8550, -83.2980, -1686.8831, -163.6087, -140.1944, -1675.8990
-86.8305, -105.8187, -1685.9504, -121.8687, -159.6640, -1674.7625, -157.8843, -83.3206, -1686.9097, -163.6349, -140.2214, -1675.8582
-86.8719, -105.9953, -1686.0544, -121.8880, -159.8721, -1674.9069, -157.9289, -83.5393, -1687.0378, -163.6866, -140.4445, -1676.1536
-86.8993, -106.0452, -1686.3071, -121.9034, -159.9101, -1675.1897, -157.9465, -83.5876, -1687.2374, -163.6864, -140.4854, -1676.3706
-86.8839, -106.0657, -1686.4456, -121.8855, -159.9491, -1675.3142, -157.9469, -83.5999, -1687.4695, -163.6831, -140.5000, -1676.5529
-86.8762, -106.0690, -1686.3657, -121.8984, -159.9561, -1675.2930, -157.9461, -83.6086, -1687.2595, -163.6724, -140.5103, -1676.4840
-86.8903, -105.9549, -1686.2778, -121.9307, -159.8162, -1675.2256, -157.9305, -83.4800, -1687.2090, -163.6880, -140.3802, -1676.3121
-86.7869, -105.8396, -1686.2773, -121.8178, -159.6838, -1675.0186, -157.8287, -83.3474, -1687.1804, -163.5927, -140.2375, -1676.1257
